BTW_BUND 17;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Madgeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
212;Altötting;9;167160;167160;167160;167160;111846;111846;111846;111846;7798;985;2343;985;104048;110861;109503;110861;;;;;15921;15921;16797;16797;2832;2832;3241;3241;6030;6030;6394;6394;72915;72915;64998;64998;2293;2293;4365;4365;3669;3669;4496;4496;;;1902;1902;;;702;702;;;2884;2884;;;759;759;0;0;1349;1349;;;0;0;;;1485;1485;;;;;;;;;;;15;15;388;388;116;116;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6813;;1358;
213;Erding – Ebersberg;9;192385;192385;192385;192385;143626;143626;143626;143626;7020;1083;2725;929;136606;142543;140901;142697;;;;;27233;27233;23670;23670;3712;3712;4178;4178;11377;11377;12587;12587;78991;78991;72850;72850;3125;3125;7322;7322;6385;6385;7395;7395;;;2611;2611;;;607;607;;;4443;4443;;;1029;1029;2992;2992;1976;1976;;;0;0;2791;2791;2177;2177;;;;;;;;;;;25;25;;;31;31;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5937;;1796;
214;Freising;9;231455;231455;231455;231455;166016;166016;166016;166016;5317;1535;2592;1232;160699;164481;163424;164784;;;;;28236;28236;26558;26558;4700;4700;5257;5257;18680;18680;14881;14881;88887;88887;85319;85319;4030;4030;7661;7661;6088;6088;7694;7694;;;3317;3317;;;1284;1284;7440;7440;6087;6087;;;1198;1198;2638;2638;1976;1976;;;0;0;0;0;2137;2137;;;;;;;;;;;27;27;;;28;28;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3782;;1360;
215;Fürstenfeldbruck;9;228174;228174;228174;228174;171489;171489;171489;171489;5149;1302;2403;1089;166340;170187;169086;170400;;;;;33713;33713;30862;30862;4543;4543;5121;5121;12830;12830;14955;14955;95234;95234;86764;86764;3754;3754;8398;8398;7938;7938;8985;8985;;;3225;3225;;;814;814;5690;5690;4754;4754;;;1263;1263;2638;2638;1919;1919;;;0;0;0;0;1964;1964;;;;;;;;;;;38;38;;;24;24;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3847;;1314;
216;Ingolstadt;9;235284;235284;235284;235284;161027;161027;161027;161027;4569;1243;2776;1360;156458;159784;158251;159667;;;;;26660;26660;27909;27909;6388;6388;5796;5796;10554;10554;9936;9936;97729;97729;88710;88710;3230;3230;6850;6850;4509;4509;5635;5635;;;2857;2857;;;1350;1350;4721;4721;4672;4672;;;988;988;2089;2089;1875;1875;578;578;0;0;0;0;1625;1625;;;;;;;;;0;0;26;26;;;22;22;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3326;;1416;
217;München-Nord;9;225557;225557;225557;225557;155942;155942;155942;155942;7306;1185;1645;698;148636;154757;154297;155244;;;;;48625;48625;38350;38350;5722;5722;7088;7088;15962;15962;21174;21174;66930;66930;57100;57100;5749;5749;12778;12778;0;0;7106;7106;;;4223;4223;;;654;654;2936;2936;2193;2193;;;1071;1071;2320;2320;1544;1544;0;0;0;0;0;0;900;900;;;;;;;;;164;164;60;60;228;228;56;56;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6121;;947;
218;München-Ost;9;236523;236523;236523;236523;168795;168795;168795;168795;6257;1355;1772;753;162538;167440;167023;168042;;;;;48051;48051;39187;39187;5713;5713;7131;7131;17100;17100;21719;21719;74745;74745;66349;66349;6920;6920;13775;13775;0;0;7807;7807;;;3814;3814;;;621;621;4978;4978;2600;2600;;;1124;1124;2702;2702;1575;1575;;;0;0;2080;2080;1235;1235;;;;;;;;;;;41;41;249;249;45;45;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4902;;1019;
219;München-Süd;9;215368;215368;215368;215368;154146;154146;154146;154146;5669;975;1765;749;148477;153171;152381;153397;;;;;43571;43571;36877;36877;6027;6027;7341;7341;17407;17407;21440;21440;66513;66513;58097;58097;4650;4650;10727;10727;4661;4661;7082;7082;;;4003;4003;;;632;632;2912;2912;2493;2493;;;1092;1092;2598;2598;1418;1418;0;0;0;0;0;0;1088;1088;;;;;;;;;0;0;42;42;138;138;49;49;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4694;;1016;
220;München-West/Mitte;9;239700;239700;239700;239700;174322;174322;174322;174322;7686;1303;1995;789;166636;173019;172327;173533;;;;;49419;49419;41108;41108;7135;7135;8312;8312;22743;22743;27068;27068;73661;73661;64221;64221;6984;6984;12850;12850;0;0;7249;7249;;;4313;4313;;;643;643;3713;3713;2387;2387;;;1219;1219;2796;2796;1770;1770;;;0;0;0;0;1002;1002;;;;;;;;;;;125;125;185;185;60;60;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6383;;1206;
221;München-Land;9;233398;233398;233398;233398;180602;180602;180602;180602;4706;1093;2416;1110;175896;179509;178186;179492;;;;;36736;36736;35540;35540;3796;3796;5088;5088;19918;19918;17654;17654;94347;94347;84406;84406;6753;6753;14940;14940;7164;7164;8741;8741;;;3311;3311;;;596;596;5336;5336;3829;3829;;;1260;1260;1846;1846;1502;1502;;;0;0;;;1266;1266;;;;;;;;;;;31;31;;;22;22;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3613;;1306;
222;Rosenheim;9;231069;231069;231069;231069;162958;162958;162958;162958;3577;1336;3321;1147;159381;161622;159637;161811;;;;;20229;20229;23966;23966;3932;3932;4688;4688;15125;15125;13631;13631;93964;93964;87569;87569;4272;4272;8040;8040;6571;6571;7792;7792;3651;3651;2788;2788;;;772;772;4484;4484;3653;3653;;;1111;1111;3290;3290;2419;2419;;;0;0;3674;3674;3088;3088;;;;;;;;;;;24;24;189;189;96;96;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2241;;2174;
223;Bad Tölz-Wolfratshausen – Miesbach;9;163940;163940;163940;163940;118741;118741;118741;118741;13580;1554;1886;882;105161;117187;116855;117859;;;;;20112;20112;16918;16918;3480;3480;3140;3140;9357;9357;9364;9364;66141;66141;63502;63502;6071;6071;6929;6929;0;0;6842;6842;;;1714;1714;;;559;559;;;3708;3708;;;826;826;;;1312;1312;;;0;0;0;0;1998;1998;;;;;;;;;;;15;15;;;28;28;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12026;;1004;
224;Starnberg – Landsberg am Lech;9;210748;210748;210748;210748;160415;160415;160415;160415;2008;1417;2012;904;158407;158998;158403;159511;;;;;28955;28955;27131;27131;4405;4405;4754;4754;16615;16615;17066;17066;84080;84080;77657;77657;10082;10082;12277;12277;1312;1312;7931;7931;3581;3581;2919;2919;;;724;724;4404;4404;2987;2987;;;1197;1197;3568;3568;1887;1887;;;0;0;1405;1405;1833;1833;;;;;;;;;;;20;20;;;20;20;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;591;;1108;
225;Traunstein;9;206868;206868;206868;206868;141456;141456;141456;141456;6495;1544;2620;1126;134961;139912;138836;140330;;;;;24570;24570;20875;20875;4117;4117;4193;4193;11973;11973;12334;12334;87598;87598;80351;80351;3313;3313;6139;6139;0;0;4597;4597;;;2116;2116;;;771;771;;;2843;2843;;;912;912;3390;3390;1843;1843;;;0;0;0;0;1808;1808;;;;;;;;;;;18;18;;;36;36;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4951;;1494;
226;Weilheim;9;165415;165415;165415;165415;119201;119201;119201;119201;8869;1341;1879;969;110332;117860;117322;118232;;;;;19372;19372;18049;18049;3337;3337;3553;3553;8939;8939;9266;9266;67678;67678;62418;62418;3736;3736;6162;6162;0;0;6620;6620;;;1765;1765;;;654;654;;;3222;3222;;;836;836;3076;3076;2141;2141;;;0;0;4194;4194;2576;2576;;;;;;;;;;;35;35;;;25;25;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7528;;910;
227;Deggendorf;9;165957;165957;165957;165957;100308;100308;100308;100308;4198;894;1693;779;96110;99414;98615;99529;;;;;16066;16066;16700;16700;3024;3024;3367;3367;4450;4450;4370;4370;60975;60975;55877;55877;1950;1950;3810;3810;3205;3205;3985;3985;;;1370;1370;;;1541;1541;4667;4667;4205;4205;;;721;721;;;993;993;;;0;0;1773;1773;1652;1652;;;;;;;;;;;11;11;;;13;13;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3304;;914;
228;Landshut;9;246103;246103;246103;246103;167952;167952;167952;167952;7073;1613;2593;1191;160879;166339;165359;166761;;;;;27100;27100;26720;26720;4832;4832;5074;5074;13785;13785;11181;11181;96356;96356;89865;89865;5038;5038;7840;7840;0;0;6007;6007;;;2605;2605;;;1351;1351;9859;9859;8856;8856;;;1310;1310;3909;3909;2123;2123;;;0;0;0;0;2378;2378;;;;;;;;;;;22;22;;;27;27;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5460;;1402;
229;Passau;9;175517;175517;175517;175517;111024;111024;111024;111024;8243;1229;1724;909;102781;109795;109300;110115;;;;;21558;21558;20349;20349;3541;3541;4139;4139;5693;5693;6590;6590;65598;65598;59369;59369;0;0;4945;4945;3451;3451;4320;4320;;;1721;1721;;;1003;1003;;;3167;3167;;;804;804;2940;2940;1834;1834;;;0;0;;;1027;1027;;;;;;;;;;;13;13;;;19;19;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7014;;815;
230;Rottal-Inn;9;168478;168478;168478;168478;107566;107566;107566;107566;3767;1268;1950;917;103799;106298;105616;106649;;;;;17056;17056;16066;16066;2756;2756;2840;2840;5073;5073;5242;5242;65095;65095;62705;62705;2179;2179;4344;4344;3129;3129;3827;3827;;;1471;1471;;;1323;1323;5561;5561;3784;3784;;;740;740;2950;2950;1793;1793;;;0;0;0;0;1432;1432;;;;;;;;;;;17;17;;;32;32;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2499;;1033;
231;Straubing;9;173773;173773;173773;173773;111537;111537;111537;111537;4940;1167;1853;988;106597;110370;109684;110549;;;;;19400;19400;17790;17790;2757;2757;3297;3297;3582;3582;4324;4324;67579;67579;63887;63887;2596;2596;4653;4653;3662;3662;4375;4375;;;1627;1627;;;1513;1513;3820;3820;4171;4171;;;688;688;3201;3201;1939;1939;;;0;0;0;0;1390;1390;;;;;;;;;;;16;16;;;14;14;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3773;;865;
232;Amberg;9;215146;215146;215146;215146;151021;151021;151021;151021;7552;1542;2393;1285;143469;149479;148628;149736;;;;;31253;31253;29036;29036;4909;4909;5052;5052;7365;7365;8997;8997;87248;87248;80073;80073;3148;3148;5633;5633;0;0;5273;5273;;;2920;2920;;;1586;1586;5722;5722;5681;5681;;;981;981;3824;3824;1959;1959;;;0;0;0;0;1375;1375;;;;;;;;;;;32;32;;;30;30;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;6010;;1108;
233;Regensburg;9;248820;248820;248820;248820;171954;171954;171954;171954;3229;1394;2557;1315;168725;170560;169397;170639;;;;;37541;37541;32902;32902;5839;5839;6617;6617;14202;14202;15759;15759;82648;82648;82556;82556;6830;6830;7835;7835;6229;6229;7000;7000;3453;3453;3354;3354;;;1280;1280;7799;7799;6886;6886;;;1261;1261;4184;4184;2571;2571;;;0;0;;;1320;1320;;;;;;;;;;;33;33;;;23;23;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;1835;;1242;
234;Schwandorf;9;216389;216389;216389;216389;141364;141364;141364;141364;6366;1247;2695;1564;134998;140117;138669;139800;;;;;34716;34716;27066;27066;3820;3820;4505;4505;4516;4516;5927;5927;80840;80840;76453;76453;2430;2430;4701;4701;;;4575;4575;;;2153;2153;;;1705;1705;6524;6524;6858;6858;;;1020;1020;2152;2152;1527;1527;;;0;0;;;2120;2120;;;;;;;;;;;38;38;;;21;21;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5119;;1131;
235;Weiden;9;170403;170403;170403;170403;118903;118903;118903;118903;13055;1114;2139;1193;105848;117789;116764;117710;;;;;25881;25881;26484;26484;3117;3117;3982;3982;4531;4531;5072;5072;64930;64930;62126;62126;1735;1735;3953;3953;;;4243;4243;;;1758;1758;;;1909;1909;4165;4165;4259;4259;;;772;772;1489;1489;1098;1098;;;0;0;0;0;1071;1071;;;;;;;;;;;18;18;;;19;19;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11941;;946;
236;Bamberg;9;179923;179923;179923;179923;126869;126869;126869;126869;5681;995;2217;920;121188;125874;124652;125949;;;;;28794;28794;24924;24924;4365;4365;5143;5143;10283;10283;11267;11267;65723;65723;61546;61546;4252;4252;6073;6073;4222;4222;5211;5211;;;2905;2905;;;1619;1619;3549;3549;3559;3559;;;964;964;0;0;792;792;;;0;0;0;0;570;570;;;;;;;;;0;0;60;60;;;19;19;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4686;;1297;
237;Bayreuth;9;164828;164828;164828;164828;115659;115659;115659;115659;5242;1187;1967;855;110417;114472;113692;114804;;;;;29344;29344;26676;26676;3246;3246;3783;3783;7189;7189;7803;7803;63936;63936;56846;56846;3133;3133;5539;5539;3569;3569;4435;4435;;;2192;2192;;;1104;1104;0;0;3524;3524;;;796;796;;;556;556;0;0;0;0;;;398;398;;;;;;;;;;;24;24;;;16;16;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4055;;1112;
238;Coburg;9;162587;162587;162587;162587;113159;113159;113159;113159;5622;996;1801;1021;107537;112163;111358;112138;;;;;36370;36370;31297;31297;3739;3739;4468;4468;4327;4327;6380;6380;56302;56302;52429;52429;1850;1850;4506;4506;3178;3178;4776;4776;;;1811;1811;1771;1771;1644;1644;;;2448;2448;;;688;688;0;0;543;543;;;0;0;;;312;312;;;;;;;;;0;0;39;39;;;17;17;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4626;;780;
239;Hof;9;172085;172085;172085;172085;117057;117057;117057;117057;2769;1078;2235;1188;114288;115979;114822;115869;;;;;33146;33146;30817;30817;5206;5206;5566;5566;6396;6396;6244;6244;63895;63895;54357;54357;1512;1512;4381;4381;4133;4133;5063;5063;0;0;2231;2231;;;1438;1438;0;0;2585;2585;;;1020;1020;;;497;497;0;0;0;0;;;590;590;;;;;;;;;;;19;19;;;14;14;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1691;;1047;
240;Kulmbach;9;172449;172449;172449;172449;122307;122307;122307;122307;6568;1225;2446;1207;115739;121082;119861;121100;;;;;27587;27587;26030;26030;3616;3616;4392;4392;4845;4845;6396;6396;68903;68903;63378;63378;1996;1996;4513;4513;3829;3829;4800;4800;;;2316;2316;;;2017;2017;3533;3533;3476;3476;;;889;889;1430;1430;856;856;;;0;0;;;758;758;;;;;;;;;;;28;28;;;12;12;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5343;;1239;
241;Ansbach;9;243643;243643;243643;243643;166555;166555;166555;166555;9843;1683;3147;1458;156712;164872;163408;165097;;;;;38331;38331;36690;36690;6202;6202;6368;6368;9665;9665;13771;13771;87922;87922;78640;78640;7454;7454;7619;7619;0;0;5950;5950;;;3276;3276;;;2008;2008;6705;6705;5208;5208;;;1114;1114;0;0;1848;1848;;;0;0;;;860;860;;;;;;;;;;;23;23;;;33;33;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;433;433;;;;;;;;;;;;;;;;;;;;;;;;8160;;1689;
242;Erlangen;9;179506;179506;179506;179506;135186;135186;135186;135186;2389;863;1808;937;132797;134323;133378;134249;;;;;35377;35377;32638;32638;5611;5611;5840;5840;11980;11980;15395;15395;65151;65151;55940;55940;2990;2990;7440;7440;4393;4393;5590;5590;3216;3216;3311;3311;;;917;917;4079;4079;3684;3684;;;901;901;0;0;1144;1144;;;0;0;;;507;507;;;;;;;;;;;45;45;;;26;26;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1526;;871;
243;Fürth;9;253603;253603;253603;253603;178211;178211;178211;178211;8408;1370;3308;1504;169803;176841;174903;176707;;;;;47936;47936;44485;44485;7524;7524;8816;8816;14595;14595;16126;16126;86997;86997;75595;75595;3239;3239;8251;8251;5588;5588;7824;7824;;;4148;4148;;;1739;1739;3924;3924;4335;4335;;;1338;1338;;;1374;1374;;;0;0;0;0;772;772;;;;;;;;;;;70;70;;;30;30;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7038;;1804;
244;Nürnberg-Nord;9;193031;193031;193031;193031;132674;132674;132674;132674;7515;1053;2130;1027;125159;131621;130544;131647;;;;;41666;41666;35310;35310;8099;8099;9311;9311;13336;13336;17444;17444;51829;51829;45748;45748;3556;3556;7150;7150;4417;4417;5906;5906;;;4221;4221;;;1061;1061;2134;2134;1909;1909;;;1032;1032;0;0;940;940;;;0;0;;;337;337;;;;;;;;;122;122;149;149;;;26;26;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6462;;1103;
245;Nürnberg-Süd;9;185799;185799;185799;185799;121814;121814;121814;121814;6082;1157;2368;1239;115732;120657;119446;120575;;;;;38942;38942;34363;34363;6038;6038;6948;6948;8165;8165;9705;9705;53519;53519;48881;48881;2192;2192;5087;5087;4498;4498;5737;5737;;;2936;2936;;;1572;1572;2378;2378;2187;2187;;;890;890;;;761;761;;;0;0;;;318;318;;;;;;;;;;;50;50;;;11;11;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4925;;1129;
246;Roth;9;226102;226102;226102;226102;168765;168765;168765;168765;4164;1566;2989;1312;164601;167199;165776;167453;;;;;46200;46200;41107;41107;6064;6064;6394;6394;11142;11142;14247;14247;84618;84618;76181;76181;5371;5371;7467;7467;0;0;6533;6533;4137;4137;3252;3252;;;1471;1471;7069;7069;6192;6192;;;1235;1235;0;0;1095;1095;;;0;0;;;560;560;;;;;;;;;;;24;24;;;18;18;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2598;;1677;
247;Aschaffenburg;9;184171;184171;184171;184171;131310;131310;131310;131310;11736;2410;3530;1964;119574;128900;127780;129346;;;;;32308;32308;28408;28408;3641;3641;4691;4691;10284;10284;11135;11135;67591;67591;61741;61741;4199;4199;7003;7003;0;0;5263;5263;;;2545;2545;;;1550;1550;;;2902;2902;;;1098;1098;1551;1551;791;791;;;0;0;;;563;563;;;;;;;;;0;0;75;75;;;15;15;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9326;;1566;
248;Bad Kissingen;9;217994;217994;217994;217994;155355;155355;155355;155355;12432;1822;3526;1733;142923;153533;151829;153622;;;;;30564;30564;27931;27931;6930;6930;6946;6946;12127;12127;9874;9874;88911;88911;82760;82760;4391;4391;7342;7342;0;0;4988;4988;;;2980;2980;;;2018;2018;;;4129;4129;;;919;919;0;0;1119;1119;;;0;0;;;756;756;;;;;;;;;;;40;40;;;27;27;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10610;;1793;
249;Main-Spessart;9;197762;197762;197762;197762;143137;143137;143137;143137;7759;2024;3583;1707;135378;141113;139554;141430;;;;;32812;32812;30486;30486;4426;4426;4839;4839;8810;8810;9972;9972;73001;73001;69953;69953;3632;3632;6413;6413;4652;4652;5583;5583;;;2670;2670;;;1404;1404;8045;8045;5619;5619;;;1119;1119;0;0;915;915;;;0;0;;;525;525;;;;;;;;;;;25;25;;;31;31;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5735;;1876;
250;Schweinfurt;9;200150;200150;200150;200150;141275;141275;141275;141275;11363;1713;3244;1416;129912;139562;138031;139859;;;;;32190;32190;28872;28872;7514;7514;6940;6940;8052;8052;9903;9903;76548;76548;71264;71264;2921;2921;5906;5906;0;0;4665;4665;;;2493;2493;;;1333;1333;;;4041;4041;;;852;852;1155;1155;859;859;;;0;0;1532;1532;828;828;;;;;;;;;0;0;52;52;;;23;23;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9650;;1828;
